year,month,pressure,humidity,temperature,wind_speed,wind_direction,dew_point,rainfall
1982,8,95.26,80.25,25.85,3.1,254.56,21.51,1.53
1982,9,95.8,79.38,25.83,2.43,296.5,20.87,0.61
1982,5,95.81,50.5,33.37,5.84,190.38,18.67,11.27
1982,9,95.77,71.5,27.65,4.98,290.44,19.53,0.29
1982,6,95.28,64.62,30.9,4.25,267.31,20.75,4.21
1982,7,94.89,78.31,28.27,4.35,272.06,22.54,5.29
1982,2,96.24,73.06,22.52,5.09,94,15.71,3.1
1982,9,95.94,56.88,25.95,3.3,147.44,15.55,1.34
1982,8,95.04,78.69,25.66,3.77,255.25,21.3,0.43
1982,6,95.35,64.44,30.84,4.05,274.44,20.77,1.11
1982,1,96.33,33.69,23.39,8.12,200.75,5.24,0.2
1982,10,96.19,65.94,25.84,2.78,274.06,18.86,0.41
1982,8,95.47,78.31,26.22,1.46,271.88,20.83,0.28
1982,10,96.03,53.69,29.39,5.81,83.06,16.44,0.01
1982,5,95.34,44.25,35.06,2.64,289.62,17.37,1.05
1982,7,94.97,77.31,27.49,4.05,267.31,22,0.52
1982,7,95.36,78.19,27.29,3.49,263.12,22.12,4.38
1982,1,96.19,57.31,24.25,5.84,243.5,12.63,0.03
1982,5,95.78,53.38,32.07,2.21,299.81,17.69,0.3
1982,1,96.15,56.94,23.41,4.13,212.25,12.48,0.05
1982,3,96.09,35.69,23.42,6.23,283.19,-0.27,0.06
1982,1,96.25,71.5,22.98,5.42,115.81,15.97,6.4
1982,8,95.3,77.38,25.29,2.66,261.38,20.08,1.39
1982,5,95.84,45.75,30.12,2.7,284.69,14.22,0.08
1982,6,95.06,67.62,31.11,6.79,263.81,21.65,1.46
1982,2,96.12,67.44,23.66,4.35,161.5,15.44,0.58
1982,1,96.31,61.56,24.55,6.6,67.88,14,6.92
1982,9,95.53,75.69,27.09,2.85,292.06,20.81,0.14
1982,11,95.97,62.38,27.23,2.93,105.25,17.87,0.51
1982,4,95.78,26.44,34.19,7.73,267.56,7.76,14.34
1982,11,95.95,76.94,23.77,7.55,131.12,19.15,2.99
1982,8,95.19,83,24.65,3.66,265.94,21.19,2.22
1982,10,95.73,66.5,27.55,3.44,285.75,19.06,2.65
1982,6,95.06,67.62,31.11,6.79,263.81,21.65,1.46
1982,9,95.86,78.69,27.14,3.7,161.31,22.09,3.19
1982,5,95.7,25.69,36.8,5.06,328.12,10.41,0.05
1982,1,96.15,60.62,23.72,5.34,243.44,13.4,0.01
1982,3,96.09,35.69,23.42,6.23,283.19,-0.27,0.06
1982,9,95.53,75.69,27.09,2.85,292.06,20.81,0.14
1982,8,95.67,80.38,25.37,1.99,285.81,20.77,0.36
1982,10,96.35,56.38,27.69,7.19,109.19,16.27,0.22
1982,6,95.35,52.31,32.35,5.09,294,17.44,0.05
1982,8,95.04,78.69,25.66,3.77,255.25,21.3,0.43
1982,10,96.08,62.31,28.06,2.86,300.12,18.6,0.02
1982,7,95.09,74,27.05,5.07,179.56,20.46,12.16
1982,1,96.26,32.56,24.14,5.44,302,4.53,0.03
1982,9,95.65,78.5,26.98,3.62,293.81,21.56,7.8
1982,8,95.49,74.75,27.01,2.1,258.62,20.69,2.32
1982,3,95.94,48.12,24.78,4.16,272.06,9.13,0.11
1982,9,95.65,76.06,25.76,2.24,287.69,19.83,5.36
1982,8,95.46,80.31,25.54,3.27,279.25,21.14,0.18
1982,8,95.41,75.25,27.65,2,260.75,21.41,1.2
1982,11,95.51,81.06,24.46,7.12,217.75,20.76,12.1
1982,9,95.79,75.06,27.16,3.73,74.94,20.8,5.15
1982,8,95.24,85.5,24.55,4.01,255.62,21.88,5.8
1982,9,95.42,80.06,26.34,2.62,298.88,21.81,0.45
1982,8,95.29,85.69,24.73,3.73,258.12,21.85,20.79
1982,7,95.43,67.31,31.93,2.85,263.88,21.72,37.39
1982,5,95.84,45.75,30.12,2.7,284.69,14.22,0.08
1982,9,95.78,76,26.6,3.03,284.56,20.69,0.05
1982,8,95.31,75.06,25.74,4.12,259.44,19.98,0.21
1982,8,95.47,78.31,26.22,1.46,271.88,20.83,0.28
1982,8,95.25,85.62,24.25,2.81,263.81,21.5,8.83
1982,9,95.96,66.44,27.25,5.59,303.44,18.28,1.14
1982,10,95.67,58.38,29.57,1.39,102.06,17.98,0.06
1982,7,95.42,67.12,29.94,2.44,274,21.01,0.1
1982,6,95.24,56.88,32.92,1.63,280.88,20.08,0.12
1982,9,95.85,77.94,26.2,1.78,46.69,20.94,0.3
1982,5,95.86,55.06,30.17,2.77,289.5,16.71,0.38
1982,10,95.81,70.94,26.54,3.09,160.25,19.33,0.15
1982,5,95.79,31.25,37.16,5.19,161.75,12.67,4.09
1982,8,95.08,85.69,24.32,4.19,254.75,21.7,33.54
1982,6,95.27,75.12,26.75,5.36,279.94,21.51,15.52
1982,6,95.32,47.38,32.37,5.75,293.88,16.12,1.73
1982,7,95.5,54.19,32.01,3.34,264.62,17.26,0.02
1982,7,95.23,75.25,27.13,3.48,244,21.19,7.15
1982,7,94.97,77.31,27.49,4.05,267.31,22,0.52
1982,1,96.09,64.31,22.85,4.67,236.12,13.15,0.59
1982,6,95.22,63.94,31.84,2.76,268.06,21.11,0.2
1982,2,96.01,30.69,27.01,6.55,270.19,4.52,0.18
1982,8,95.16,84.12,24.3,2.59,262.31,21.3,3.39
1982,9,95.74,71.31,28.16,2.85,285.44,20.29,0.34
1982,10,96.19,65.94,25.84,2.78,274.06,18.86,0.41
1982,7,95.35,75,26.93,4.83,266.5,21.03,0.85
1982,5,95.93,53.44,30.01,6.73,174.88,18.05,2.48
1982,5,95.54,44.38,33.05,3.44,209.38,17.19,0.09
1982,9,95.57,77.25,27.1,1.61,300.88,21.2,0.96
1982,7,95.35,67.62,29.9,2.51,269.81,21.09,1.32
1982,7,95.29,57.81,33.25,3.09,238.81,19.8,0.4
1982,1,96.19,57.31,24.25,5.84,243.5,12.63,0.03
1982,8,95.22,80.94,25.63,4.1,264.94,21.51,3.21
1982,5,95.96,49.44,32.58,5.65,213.5,17.65,7.58
1982,8,95.52,76.94,26.3,2.13,272.31,20.51,0.09
1982,1,96.31,61.56,24.55,6.6,67.88,14,6.92
1982,7,95.44,68.12,30.58,2.92,264.38,21.31,6.2
1982,3,95.81,25.62,32.37,7.16,274.44,7.67,2.65
1982,9,95.77,71.5,27.65,4.98,290.44,19.53,0.29
1982,7,95.25,74.88,28.8,5.98,213.25,22.4,29.6
1982,8,95.18,85.44,24.33,3.02,258.5,21.72,2.73
1982,3,95.7,24.62,34.32,6.74,224.44,8.74,0.81
1982,10,96.13,66.25,28.12,3.57,126.5,19.14,0.48
1982,2,96.12,67.44,23.66,4.35,161.5,15.44,0.58
1982,9,95.74,73.81,26.09,2.29,280.12,19.46,0.19
1982,10,95.95,62.25,28.08,2.47,82.44,18.14,2.87
1982,11,95.86,78.62,23.02,2.3,230.75,17.66,3.82
1982,7,95.05,79.31,26.44,8.58,213.06,21.9,1.49
1982,4,95.82,32.06,34.51,7.27,281.62,11.24,1.39
1982,4,95.75,47.38,30.62,6.75,264.75,14.87,10.9
1982,6,95.28,68.69,29.12,2.8,275.31,21.13,0.49
1982,1,96.11,67.75,23.22,5.28,113,14.77,2.72
1982,1,96.3,75.44,22.54,4.2,147.19,16.69,8.02
1982,9,95.85,73.19,28.16,3.38,269.94,21.06,1.88
1982,6,95.16,51.38,35.64,5.97,268.75,19.01,0.08
1982,6,95.05,73.31,27.86,6.36,278.62,21.44,0.48
1982,7,95.13,79.81,26.83,2.5,230.81,22.35,1.24
1982,10,95.83,67.56,27.48,3.27,273.94,18.75,6.63
1982,9,95.86,61.38,25.96,4.36,82.88,16.32,4.97
1982,9,95.8,79.38,25.83,2.43,296.5,20.87,0.61
1982,4,95.83,30.25,32.2,3.97,288.88,9.98,0.2
1982,6,95.22,54.88,32.96,4.09,267.25,19.71,0.09
1982,10,96.02,71.56,25.83,4.55,118.06,19.05,1.97
1982,8,95.22,85.94,24.83,3.9,263.38,22.08,14.24
1982,10,96.19,67.25,27.6,4.45,163.06,18.8,0.05
1982,5,95.54,38.38,34.05,6.02,271.69,14.49,0.01
1982,4,95.73,37.06,34.33,6,316.38,12.51,0.2
1982,8,95.4,80.56,25.69,5.12,268,21.44,1.32
1982,7,95.31,79,26.35,5.01,255.06,21.62,0.52
1982,7,94.98,84.19,26.51,2.21,241.56,23.33,25.88
1982,7,94.9,77.88,28.3,3.53,262.69,22.93,1.5
1982,6,95.17,46.56,35.45,5.85,286.69,17.83,0.01
1982,7,95.16,77.12,27.44,4.54,255.94,21.98,1.34
1982,6,95.28,62.06,31.11,7.89,248.81,20.37,16.3
1982,8,95.03,80.5,24.96,4.59,258.75,20.85,4.22
1982,7,94.91,80.06,27.68,4.8,250.94,22.88,1
1982,11,96.01,71.31,23.83,5.03,225.44,16.41,0.27
1982,9,95.65,74,26.84,2.34,288.5,19.93,0.12
1982,9,95.77,74.25,27.59,2.66,290.31,20.62,1.8
1982,7,95.27,73.5,28.01,5.7,289.56,21.73,0.08
1982,10,95.62,62.88,28.33,3.29,66.06,18.48,2.64
1982,7,95.36,78.19,27.29,3.49,263.12,22.12,4.38
1982,9,95.94,56.88,25.95,3.3,147.44,15.55,1.34
1982,9,95.47,78.31,26.21,2.82,279,21.13,2.1
1982,4,95.64,46.88,31.77,4.8,272.69,13.98,0.02
1982,11,95.97,62.38,27.23,2.93,105.25,17.87,0.51
1982,9,95.75,75.62,26.44,3.19,287.12,20.4,0.03
1982,8,95.55,83,24.52,1.71,274.19,20.96,0.08
1982,7,95.43,76.38,27.38,3.16,260.44,21.73,3.64
1982,1,96.25,71.5,22.98,5.42,115.81,15.97,6.4
1982,10,96.12,69,26.55,2.42,128.62,19.24,0.29
1982,10,96.03,53.69,29.39,5.81,83.06,16.44,0.01
1982,1,96.33,51.06,24.92,4.68,144.25,11.26,0.01
1982,7,95.25,79.75,26.81,3.63,279.62,21.87,9.42
1982,2,96.24,55.12,19.9,4.53,191.94,7.99,0.02
1982,5,95.44,49.5,32.56,5.26,289.88,17.91,9.72
1982,5,95.34,44.25,35.06,2.64,289.62,17.37,1.05
1982,1,96.1,67.81,23.41,5.26,145.38,15.16,0.21
1982,2,96.24,73.06,22.52,5.09,94,15.71,3.1
1982,10,96.25,62.5,27.48,2.99,139,17.9,2.03
1982,10,96.05,66,27.52,1.98,219.44,18.31,0.17
1982,11,95.83,57,27.88,2.9,143.19,16.82,0.01
1982,9,95.78,73.75,26.19,1.98,282.69,19.69,0.03
1982,7,95.36,57.19,31.93,2.52,248,18.23,0.05
1982,7,94.89,78.31,28.27,4.35,272.06,22.54,5.29
1982,6,95.19,62.81,31,7.09,218.25,20.42,0.62
1982,8,95.01,84.38,25.01,2.7,261.31,21.8,6.5
1982,7,95.17,82.38,25.97,4.24,265,22.33,10
1982,8,95.3,81.38,25.23,3.88,262.81,21.32,1.81
1982,8,95.22,82.25,24.83,4.26,262.88,21.26,1.33
1982,5,95.95,54.5,32.08,4.01,303.69,19.01,2.54
1982,8,95.21,77.81,24.23,2.78,244,19.89,1.09
1982,6,95.47,72.75,27.76,3.73,263.88,21.4,1.63
1982,7,95.44,75.75,27.01,5.3,260.44,21.27,4.83
1982,1,96.15,56.94,23.41,4.13,212.25,12.48,0.05
1982,11,95.8,81.62,23.97,7.04,142,20.33,3.55
1982,8,95.25,78.38,25.5,4.72,253,20.76,0.88
1982,10,96.28,71.38,26.42,2.34,163.38,19.55,1.63
1982,5,95.78,53.38,32.07,2.21,299.81,17.69,0.3
1982,8,95.26,80.25,25.85,3.1,254.56,21.51,1.53
1982,9,95.39,81.31,25.7,2.5,285.12,21.81,4.03
1982,7,95,77.75,27.62,6.98,112.81,22.15,0.71
1982,9,95.79,74.12,24.93,1.61,316.62,18.28,0.89
1982,5,95.48,38,33.47,6.16,315.56,14.05,0.46
1982,9,95.51,76.56,26.8,2.05,307,21.08,0.44
1982,6,95.3,64.12,31.22,3.43,259.44,20.67,3.97
1982,10,96.13,72.56,26.84,2.93,172.19,19.53,1.64
1982,5,95.8,47.06,31.91,5.29,276.38,14.48,0.81
1982,9,95.86,76.69,27.53,3.64,76.94,21.81,14.17
1982,9,95.66,76.06,26.89,1.98,282.38,20.72,4.1
1982,7,94.94,84.56,25.54,3.86,250.06,22.48,6.4
1982,5,95.44,44.31,34.26,3.52,282.62,16.82,0.01
1982,1,96.1,60.06,22.76,6.5,100.69,11.84,0.63
1982,5,95.61,38.56,32.58,4.82,323.81,13.37,0.18
1982,8,95.26,75.69,25.93,2.63,257.31,20.21,1.71
1982,7,95.06,72.5,28.98,4.94,224.81,21.51,0.74
1982,5,95.8,43,32.07,4.58,309.69,14.99,3.17
1982,6,95.28,54,34.01,3.1,279,19.51,0.33
1982,6,95.14,50.5,35.25,3.99,277.81,19.33,0.12
1982,8,95.3,77.38,25.29,2.66,261.38,20.08,1.39
1982,1,96.45,80.94,19.89,2.38,67.81,16.04,4.03
1982,3,95.88,29.44,29.48,5.43,306.38,6.05,0.19
1982,9,95.87,73,26.37,2,129.19,19.43,0.01
1982,6,95.28,64.62,30.9,4.25,267.31,20.75,4.21
1982,1,96.28,33.81,22.44,6.79,305.94,3.24,0.1
1982,5,95.81,50.5,33.37,5.84,190.38,18.67,11.27
1982,6,95.13,48.62,35.33,5.9,276.94,18.6,0.1
1982,8,95.26,78.62,26.57,2.39,267.19,21.53,2.91
1982,1,96.33,33.69,23.39,8.12,200.75,5.24,0.2
1982,5,95.8,30.44,36.15,2.16,327.31,12.89,6.55
1982,5,95.58,37.56,33.99,1.8,203.56,14.64,0.07
1982,6,95.35,64.44,30.84,4.05,274.44,20.77,1.11
1982,8,95.5,79.31,25.85,1.32,280.56,20.85,0.21
1982,7,95.1,77.06,27.09,4.38,266.31,21.84,4.34
1982,8,95.47,74.5,25.55,4.38,248.12,19.87,0.39
1982,5,95.54,40.88,35.74,3.29,84.12,16.87,1.2
1982,5,95.31,38.69,35.67,5.09,299.06,15.63,0.09
1982,5,95.61,38.56,32.58,4.82,323.81,13.37,0.18
1982,3,96.09,35.69,23.42,6.23,283.19,-0.27,0.06
1982,5,95.54,40.88,35.74,3.29,84.12,16.87,1.2
1982,9,95.87,73,26.37,2,129.19,19.43,0.01
1982,7,94.91,80.06,27.68,4.8,250.94,22.88,1
1982,9,95.94,56.88,25.95,3.3,147.44,15.55,1.34
1982,10,95.73,66.5,27.55,3.44,285.75,19.06,2.65
1982,9,95.77,74.25,27.59,2.66,290.31,20.62,1.8
1982,10,96.05,66,27.52,1.98,219.44,18.31,0.17
1982,1,96.33,51.06,24.92,4.68,144.25,11.26,0.01
1982,5,95.34,44.25,35.06,2.64,289.62,17.37,1.05
1982,1,96.1,60.06,22.76,6.5,100.69,11.84,0.63
1982,9,95.53,75.69,27.09,2.85,292.06,20.81,0.14
1982,9,95.86,61.38,25.96,4.36,82.88,16.32,4.97
1982,11,95.95,76.94,23.77,7.55,131.12,19.15,2.99
1982,6,95.32,47.38,32.37,5.75,293.88,16.12,1.73
1982,6,95.17,46.56,35.45,5.85,286.69,17.83,0.01
1982,8,95.22,85.94,24.83,3.9,263.38,22.08,14.24
1982,10,95.81,70.94,26.54,3.09,160.25,19.33,0.15
1982,6,95.47,72.75,27.76,3.73,263.88,21.4,1.63
1982,11,95.8,81.62,23.97,7.04,142,20.33,3.55
1982,7,95.09,74,27.05,5.07,179.56,20.46,12.16
1982,7,95.36,57.19,31.93,2.52,248,18.23,0.05
1982,7,95.29,57.81,33.25,3.09,238.81,19.8,0.4
1982,10,96.13,72.56,26.84,2.93,172.19,19.53,1.64
1982,5,95.54,44.38,33.05,3.44,209.38,17.19,0.09
1982,9,95.66,76.06,26.89,1.98,282.38,20.72,4.1
1982,2,96.24,55.12,19.9,4.53,191.94,7.99,0.02
1982,8,95.04,78.69,25.66,3.77,255.25,21.3,0.43
1982,10,96.03,53.69,29.39,5.81,83.06,16.44,0.01
1982,7,94.94,84.56,25.54,3.86,250.06,22.48,6.4
1982,8,95.25,78.38,25.5,4.72,253,20.76,0.88
1982,2,96.24,73.06,22.52,5.09,94,15.71,3.1
1982,7,95.43,67.31,31.93,2.85,263.88,21.72,37.39
1982,10,95.67,58.38,29.57,1.39,102.06,17.98,0.06
1982,10,96.35,56.38,27.69,7.19,109.19,16.27,0.22
1982,7,95.06,72.5,28.98,4.94,224.81,21.51,0.74
1982,5,95.44,49.5,32.56,5.26,289.88,17.91,9.72
1982,10,95.62,62.88,28.33,3.29,66.06,18.48,2.64
1982,1,96.26,32.56,24.14,5.44,302,4.53,0.03
1982,7,95.36,78.19,27.29,3.49,263.12,22.12,4.38
1982,6,95.05,73.31,27.86,6.36,278.62,21.44,0.48
1982,6,95.22,63.94,31.84,2.76,268.06,21.11,0.2
1982,11,95.83,57,27.88,2.9,143.19,16.82,0.01
1982,1,96.19,57.31,24.25,5.84,243.5,12.63,0.03
1982,9,95.85,77.94,26.2,1.78,46.69,20.94,0.3
1982,8,95.24,85.5,24.55,4.01,255.62,21.88,5.8
1982,9,95.42,80.06,26.34,2.62,298.88,21.81,0.45
1982,4,95.64,46.88,31.77,4.8,272.69,13.98,0.02
1982,9,95.86,78.69,27.14,3.7,161.31,22.09,3.19
1982,9,95.51,76.56,26.8,2.05,307,21.08,0.44
1982,6,95.3,64.12,31.22,3.43,259.44,20.67,3.97
1982,1,96.3,75.44,22.54,4.2,147.19,16.69,8.02
1982,8,95.47,78.31,26.22,1.46,271.88,20.83,0.28
1982,9,95.74,71.31,28.16,2.85,285.44,20.29,0.34
